key,project,issuetype,resolution,priority,created,resolutiondate,summary,category,spec_areas,is_nonconformance,mentions_other_driver,preventable_by_yaml_test,confidence,rationale,components,labels,fix_versions,links,url
DRIVERS-2938,DRIVERS,Improvement,Fixed,Minor - P4,2024-07-11,2024-07-15,Remove MONGODB-CR from spec tests,not_relevant,auth,False,False,False,high,"Build, package, docs, perf, or internal refactor.",Matrix Testing,,,,https://jira.mongodb.org/browse/DRIVERS-2938
DRIVERS-2847,DRIVERS,Improvement,Fixed,Unknown,2024-02-23,2024-07-30,Update test definition in Client-Side encryption tests,not_relevant,connection-string|crud,False,False,False,high,"Build, package, docs, perf, or internal refactor.",CSOT,,None,Issue split:CDRIVER-5490|Issue split:CSHARP-4983|Issue split:CXX-2968|Issue split:GODRIVER-3140|Issue split:JAVA-5340|Issue split:MOTOR-1263|Issue split:NODE-5974|Issue split:PHPLIB-1401|Issue split:PYTHON-4240|Issue split:RUBY-3407|Issue split:RUST-1862,https://jira.mongodb.org/browse/DRIVERS-2847
DRIVERS-2968,DRIVERS,Improvement,Fixed,Unknown,2024-08-28,2024-09-18,Stop requiring drivers to use Int64 for array indices,not_relevant,crud|index-management,False,False,False,high,"Build, package, docs, perf, or internal refactor.",Bulk API,,,,https://jira.mongodb.org/browse/DRIVERS-2968
DRIVERS-2991,DRIVERS,Bug,Fixed,Major - P3,2024-09-25,2024-09-27,Address already in use error when launching mongo-orchestration,not_relevant,,False,False,False,high,"Build, package, docs, perf, or internal refactor.",Mongo Orchestration,,,Problem/Incident:DEVPROD-10457|Related:NODE-6405|Related:PHPLIB-1539,https://jira.mongodb.org/browse/DRIVERS-2991
DRIVERS-2967,DRIVERS,Improvement,Fixed,Unknown,2024-08-28,2024-10-01,"Suggest ways to model summary vs verbose bulk write results in the API, instead of requiring to choose from the predefined approaches",not_relevant,crud,False,False,False,high,"Build, package, docs, perf, or internal refactor.",Bulk API,,,,https://jira.mongodb.org/browse/DRIVERS-2967
DRIVERS-3010,DRIVERS,Bug,Fixed,Minor - P4,2024-10-17,2024-10-23,Specs use insufficient markdown indentation for mkdocs,not_relevant,bson|sessions,False,False,False,high,"Build, package, docs, perf, or internal refactor.",Docs,spec-fest,,,https://jira.mongodb.org/browse/DRIVERS-3010
DRIVERS-1326,DRIVERS,Improvement,Fixed,Minor - P4,2020-07-09,2024-10-29,Add a bson corpus test with invalid type for $code when $scope is also present,avoidable_by_spec_conformance,bson,False,True,True,medium,Bug in bson component.,Extended JSON,,,Depends:CDRIVER-3742|Depends:PHPC-1655|Depends:CSHARP-3157|Depends:CXX-2070|Depends:GODRIVER-1679|Depends:JAVA-3783|Depends:MOTOR-573|Depends:NODE-2683|Depends:PYTHON-2314|Depends:RUBY-2318|Depends:RUST-493|Depends:SWIFT-941|Depends:SPEC-1538,https://jira.mongodb.org/browse/DRIVERS-1326
DRIVERS-1028,DRIVERS,Improvement,Done,Major - P3,2020-04-07,2024-10-29, Correctly express lack of event assertions in change stream tests,not_relevant,change-streams,False,False,False,high,"Build, package, docs, perf, or internal refactor.",Change Streams,,,Depends:PHPLIB-580|Depends:CDRIVER-3779|Depends:CSHARP-3190|Depends:CXX-2094|Depends:GODRIVER-1725|Depends:JAVA-3818|Depends:MOTOR-612|Depends:NODE-2772|Depends:PYTHON-2348|Depends:RUBY-2369|Depends:RUST-535|Depends:SWIFT-979|Depends:SPEC-1462,https://jira.mongodb.org/browse/DRIVERS-1028
DRIVERS-580,DRIVERS,Improvement,Done,Major - P3,2018-10-23,2024-10-31,Disable TLS renegotiation when possible,not_relevant,,False,False,False,low,Insufficient detail or no spec signal.,,newdriver,,Depends:CDRIVER-2934|Depends:CXX-1717|Depends:MOTOR-299|Depends:NODE-1841|Depends:PERL-1054|Depends:PHPC-1315|Depends:PYTHON-1726|Depends:RUBY-1685|Depends:RUST-131|Depends:CSHARP-2843|Depends:GODRIVER-1403|Depends:JAVA-3505|Depends:SWIFT-487|Depends:SERVER-37714|Related:HELP-7935,https://jira.mongodb.org/browse/DRIVERS-580
DRIVERS-3013,DRIVERS,Improvement,Fixed,Unknown,2024-10-22,2024-10-31,List all root-level document contexts and clarify when an expected array is an array of root-level documents,not_relevant,crud,False,True,False,high,"Build, package, docs, perf, or internal refactor.",Unified Test Runner,spec-fest,,Related:JAVA-5629,https://jira.mongodb.org/browse/DRIVERS-3013
DRIVERS-2902,DRIVERS,Improvement,Done,Major - P3,2024-04-26,2024-11-01,Drivers: Exact Vector Search,not_relevant,,False,False,False,high,"Build, package, docs, perf, or internal refactor.",,,,Issue split:CSHARP-5212|Issue split:JAVA-5557|Issue split:PHPORM-224|Related:CLOUDP-204248,https://jira.mongodb.org/browse/DRIVERS-2902
DRIVERS-953,DRIVERS,Improvement,Fixed,Minor - P4,2019-12-20,2024-11-05,Ambiguous fields for ClientEncryptionOpts,not_relevant,,False,False,False,high,"Build, package, docs, perf, or internal refactor.",Client Side Encryption,neweng|spec-fest,,,https://jira.mongodb.org/browse/DRIVERS-953
DRIVERS-2964,DRIVERS,Bug,Fixed,Unknown,2024-08-22,2024-11-05,Investigate atlas-retryReads-primaryRemoval failures,avoidable_by_spec_conformance,auth,False,False,True,medium,Bug in auth component.,Astrolabe,,,Duplicate:DRIVERS-2959|Related:CLOUDP-274484|Related:WRITING-25603|Related:PRODTRIAGE-1232,https://jira.mongodb.org/browse/DRIVERS-2964
DRIVERS-649,DRIVERS,Improvement,Done,Major - P3,2019-05-15,2024-11-11,Discard ServerSessions involved in network errors,not_relevant,sessions|transactions,False,False,False,high,"Build, package, docs, perf, or internal refactor.",,,,Depends:CDRIVER-3142|Depends:CSHARP-2615|Depends:CXX-1770|Depends:GODRIVER-1080|Depends:JAVA-3295|Depends:JAVARS-184|Depends:MOTOR-343|Depends:NODE-1977|Depends:PERL-1097|Depends:PHPC-1381|Depends:PYTHON-1838|Depends:RUBY-1813|Depends:RUST-573|Depends:SCALA-525|Depends:SWIFT-1013|Depends:SPEC-1159,https://jira.mongodb.org/browse/DRIVERS-649
DRIVERS-2768,DRIVERS,Improvement,Done,Major - P3,2023-11-07,2024-11-14,[Vector Search GA] Add support for the new type field when creating search indexes,not_relevant,auth|connection-string|crud|index-management|wire-protocol,False,False,False,high,"Build, package, docs, perf, or internal refactor.",,mongot-cross-team|vector-search,,Depends:DOCSP-42831|Initiative:INIT-498|Issue split:CDRIVER-4831|Issue split:CSHARP-4960|Issue split:CXX-2829|Issue split:GODRIVER-3125|Issue split:JAVA-5323|Issue split:MOTOR-1254|Issue split:NODE-5919|Issue split:PHPLIB-1394|Issue split:PYTHON-4208|Issue split:RUBY-3395|Issue split:RUST-1845|Related:CLOUDP-203106|Related:NODE-5760|Related:CLOUDP-202272,https://jira.mongodb.org/browse/DRIVERS-2768
DRIVERS-1943,DRIVERS,Improvement,Done,Unknown,2021-10-05,2024-11-27,Make maxConnecting configurable,not_relevant,cmap,False,False,False,high,"Build, package, docs, perf, or internal refactor.",CMAP|Performance,size-small|spec-change,,Depends:CSHARP-3885|Duplicate:JAVA-4288|Issue split:RUST-1096|Issue split:CDRIVER-4218|Issue split:CSHARP-3952|Issue split:CXX-2413|Issue split:GODRIVER-2219|Issue split:MOTOR-856|Issue split:NODE-3750|Issue split:PHPLIB-759|Issue split:PYTHON-3005|Issue split:RUBY-2840|Issue split:SWIFT-1411|Issue split:JAVA-4390|Related:DOCSP-35335,https://jira.mongodb.org/browse/DRIVERS-1943
DRIVERS-2380,DRIVERS,Improvement,Done,Major - P3,2022-07-06,2024-12-31,Allow collectionless $lookup with $documents,not_relevant,,False,False,False,high,"Build, package, docs, perf, or internal refactor.",,,,Depends:SERVER-58807|Issue split:JAVA-4674|Issue split:CSHARP-4248,https://jira.mongodb.org/browse/DRIVERS-2380
DRIVERS-2503,DRIVERS,Bug,Done,Minor - P4,2022-11-17,2025-01-13,ConnectionId returned in heartbeats may be int64,driver_spec_nonconformance,,True,False,True,high,Driver deviates from published spec.,Handshake,,,Issue split:CSHARP-4483|Issue split:CXX-2638|Issue split:GODRIVER-2737|Issue split:MOTOR-1084|Issue split:NODE-4971|Issue split:PHPC-2220|Issue split:PYTHON-3571|Issue split:RUBY-3206|Issue split:RUST-1571|Issue split:SWIFT-1692|Issue split:CDRIVER-4557|Issue split:JAVA-4846|Problem/Incident:CSHARP-4417|Related:CDRIVER-4502|Related:SERVER-75293|Related:DRIVERS-1141,https://jira.mongodb.org/browse/DRIVERS-2503
DRIVERS-3099,DRIVERS,Improvement,Done,Major - P3,2025-02-05,2025-02-10,Add option for nightly mongoDB to drivers-evergreen-tool,not_relevant,,False,False,False,high,"Build, package, docs, perf, or internal refactor.",Evergreen Tools,,,Depends:TUNE-69|Issue split:CDRIVER-5888|Issue split:CSHARP-5486|Issue split:CXX-3221|Issue split:GODRIVER-3483|Issue split:JAVA-5785|Issue split:MOTOR-1431|Issue split:NODE-6744|Issue split:PHPLIB-1622|Issue split:PYTHON-5130|Issue split:RUBY-3621|Issue split:RUST-2151,https://jira.mongodb.org/browse/DRIVERS-3099
DRIVERS-3016,DRIVERS,Improvement,Done,Unknown,2024-10-24,2025-02-10,SPIKE: Fuzz test BSON libraries using GenAI,not_relevant,,False,False,False,high,Build/CI infrastructure,Security,,,,https://jira.mongodb.org/browse/DRIVERS-3016
DRIVERS-2809,DRIVERS,Improvement,Done,Major - P3,2024-01-16,2025-03-13,Drivers Support for indexing and querying on UUID and null datatype,not_relevant,,False,True,False,high,Build/CI infrastructure,Index Management,,,Depends:CLOUDP-170171|Issue split:CSHARP-4938|Issue split:JAVA-5299|Issue split:PHPORM-135,https://jira.mongodb.org/browse/DRIVERS-2809
DRIVERS-1884,DRIVERS,Improvement,Fixed,Unknown,2021-08-15,2025-03-25,Do not send buildInfo or buildinfo to check for feature compatibility,not_relevant,,False,True,False,high,Build/CI infrastructure,,,,Issue split:CSHARP-3480|Related:SPM-2327,https://jira.mongodb.org/browse/DRIVERS-1884
DRIVERS-3141,DRIVERS,Bug,Done,Unknown,2025-03-21,2025-03-26,"OIDC teardown script fails with ""ERROR: CLUSTER_NAME not set""",test_infrastructure,,False,False,False,high,Test infrastructure/YAML format,Evergreen Tools,,,Problem/Incident:GODRIVER-3513,https://jira.mongodb.org/browse/DRIVERS-3141
DRIVERS-2344,DRIVERS,Improvement,Done,Major - P3,2022-05-31,2025-04-02,Expose rich field information in the updateDescription,not_relevant,,False,True,False,medium,Documentation/typo fix,Change Streams,,,Depends:SERVER-63861|Duplicate:DRIVERS-2354|Issue split:JAVA-4692|Issue split:PHPLIB-924|Issue split:CDRIVER-4440|Issue split:CSHARP-4274|Issue split:CXX-2555|Issue split:GODRIVER-2506|Issue split:MOTOR-1004|Issue split:NODE-4484|Issue split:PYTHON-3373|Issue split:RUBY-3068|Issue split:SWIFT-1614|Issue split:RUST-1423|Related:KAFKA-165,https://jira.mongodb.org/browse/DRIVERS-2344
DRIVERS-3155,DRIVERS,Bug,Fixed,Unknown,2025-04-02,2025-05-21,Include topologyClosedEvent and topologyOpeningEvent in unified test format,not_relevant,,False,False,False,high,Build/CI infrastructure,SDAM,,,Related:DRIVERS-2711,https://jira.mongodb.org/browse/DRIVERS-3155
DRIVERS-3199,DRIVERS,Bug,Done,Unknown,2025-06-02,2025-06-03,Unable to run AWS KMS test in Evergreen due to insufficient permissions for drivers-test-secrets-role,not_relevant,,False,False,False,high,Build/CI infrastructure,Evergreen Tools,,,Related:DRIVERS-3188,https://jira.mongodb.org/browse/DRIVERS-3199
DRIVERS-3249,DRIVERS,Bug,Fixed,Unknown,2025-08-06,2025-08-07,Fix support for MongoDB 4.0 in mongo-orchestration,not_relevant,,False,True,False,high,Build/CI infrastructure,Evergreen Tools,,,Problem/Incident:PYTHON-5248|Related:DRIVERS-3253|Related:DRIVERS-3034|Related:PYTHON-5487,https://jira.mongodb.org/browse/DRIVERS-3249
DRIVERS-3094,DRIVERS,Bug,Fixed,Minor - P4,2025-01-29,2025-08-25,Drivers evergreen tools run-orchestration.sh does not download x64 binaries to arm Macs,not_relevant,,False,False,False,high,Build/CI infrastructure,Evergreen Tools,spec-fest,,,https://jira.mongodb.org/browse/DRIVERS-3094
DRIVERS-3256,DRIVERS,Bug,Fixed,Major - P3,2025-08-08,2025-08-27,Mongo-orchestration fails to assign multiple unique ports the first time,not_relevant,,False,False,False,high,Build/CI infrastructure,Mongo Orchestration,,,Related:TUNE-197,https://jira.mongodb.org/browse/DRIVERS-3256
DRIVERS-3336,DRIVERS,Improvement,Done,Major - P3,2025-11-12,2025-11-17,Investigate changes in SERVER-113821: Iterate on downstream ticket process,not_relevant,,False,False,False,low,Insufficient detail for classification,,,,Depends:SERVER-113821|Related:WRITING-34451,https://jira.mongodb.org/browse/DRIVERS-3336
DRIVERS-2822,DRIVERS,Improvement,Done,Major - P3,2024-01-31,2026-01-14,Allow update to supply sort option,not_relevant,,False,True,False,medium,Documentation/typo fix,CRUD,,,Depends:SERVER-78140|Depends:COMPASS-7615|Issue split:CXX-3076|Issue split:PHPC-2518|Issue split:PHPLIB-1492|Issue split:CDRIVER-5640|Issue split:CSHARP-5201|Issue split:GODRIVER-3285|Issue split:JAVA-5543|Issue split:MOTOR-1344|Issue split:NODE-6290|Issue split:PYTHON-4576|Issue split:RUBY-3520|Issue split:RUST-2002|Related:DOCSP-47854,https://jira.mongodb.org/browse/DRIVERS-2822
DRIVERS-2620,DRIVERS,Improvement,Done,Major - P3,2023-05-02,2026-01-14,$dateToString aggregation with timezone outputs invalid ISO8601 string,not_relevant,,False,True,False,high,Build/CI infrastructure,,,,Depends:SERVER-76696|Issue split:CSHARP-4694|Issue split:JAVA-5044,https://jira.mongodb.org/browse/DRIVERS-2620
DRIVERS-3407,DRIVERS,Bug,Fixed,Major - P3,2026-02-24,2026-02-25,mongo-orchestration racy failure when creating sharded clusters,not_relevant,,False,False,False,high,Build/CI infrastructure,Mongo Orchestration,,,Related:TUNE-608,https://jira.mongodb.org/browse/DRIVERS-3407
DRIVERS-3380,DRIVERS,Improvement,Done,Unknown,2026-01-26,2026-04-21,Add spec test for server deprioritization with changed ServerDescription,not_relevant,,False,True,False,high,Build/CI infrastructure,Server Selection,,,Issue split:CDRIVER-6215|Issue split:CSHARP-5855|Issue split:CXX-3406|Issue split:GODRIVER-3795|Issue split:JAVA-6074|Issue split:NODE-7415|Issue split:PHPLIB-1776|Issue split:PYTHON-5706|Issue split:RUBY-3762|Issue split:RUST-2349|Related:DRIVERS-3344,https://jira.mongodb.org/browse/DRIVERS-3380
DRIVERS-3434,DRIVERS,Bug,Done,Unknown,2026-03-31,2026-04-23,Auth-ssl configuration does not enforce auth on standalone with mongodb-runner,not_relevant,,False,True,False,high,Build/CI infrastructure,Mongo Orchestration,,,Block:CXX-3423|Block:DRIVERS-3335|Block:RUST-2366|Block:JAVA-6108|Block:PHPLIB-1794|Block:CSHARP-5895|Block:RUBY-3780,https://jira.mongodb.org/browse/DRIVERS-3434
DRIVERSOLD-71,DRIVERSOLD,Improvement,Done,Minor - P4,2009-05-06,2015-01-03,drivers should use $query and $orderby in query spec instead of query and orderby,not_relevant,,False,True,False,low,Insufficient detail for classification,,,,Depends:JAVA-802|Related:SERVER-8025|Related:SERVER-6767,https://jira.mongodb.org/browse/DRIVERSOLD-71
DRIVERSOLD-3,DRIVERSOLD,Bug,Done,Critical - P2,2012-11-28,2015-01-05,Commands sent to mongos sometimes break when sending $readPreference,not_relevant,,False,True,False,high,Build/CI infrastructure,,,,Depends:CDRIVER-240|Depends:JAVA-706|Depends:PERL-281|Depends:PYTHON-446|Depends:RUBY-472|Depends:RUBY-692|Duplicate:SERVER-7789|Related:SERVER-14294,https://jira.mongodb.org/browse/DRIVERSOLD-3
DRIVERSOLD-81,DRIVERSOLD,Improvement,Done,Major - P3,2013-05-21,2015-01-06,Drivers should check the query failure bit even on getmore response,not_relevant,,False,True,False,medium,Documentation/typo fix,,,,Depends:SERVER-10134|Depends:CDRIVER-225|Depends:NODE-55|Depends:PERL-250|Depends:RUBY-659|Depends:CXX-361|Depends:CASBAH-108|Depends:JAVA-952|Depends:PHP-755|Depends:PHP-756|Related:SERVER-9738|Related:SERVER-15438,https://jira.mongodb.org/browse/DRIVERSOLD-81
DRIVERSOLD-79,DRIVERSOLD,Improvement,Done,Major - P3,2013-08-15,2015-01-14,Drivers should only talk to servers with overlapping wire versions,not_relevant,,False,True,False,low,Insufficient detail for classification,,,,Depends:CDRIVER-245|Depends:CSHARP-845|Depends:DRIVERS-97|Depends:JAVA-1025|Depends:NODE-77|Depends:PERL-285|Depends:PHP-923|Depends:PYTHON-587|Depends:RUBY-683|Depends:DRIVERS-103|Depends:SERVER-10529|Depends:CAP-905|Related:SERVER-11820|Related:CAP-932,https://jira.mongodb.org/browse/DRIVERSOLD-79
GODRIVER-5,GODRIVER,Bug,Done,Minor - P4,2017-03-17,2017-03-17,JSON parsing bug for quoted keys,not_relevant,,False,False,False,low,Insufficient detail for classification,JSON & ExtJSON,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-5
GODRIVER-23,GODRIVER,Bug,Fixed,Major - P3,2017-05-26,2017-05-30,SlaveOk bit not set when connected directly to a secondary,not_relevant,,False,False,False,low,Insufficient detail for classification,Wire Protocol,,0.0.1,Depends:BI-1036,https://jira.mongodb.org/browse/GODRIVER-23
GODRIVER-21,GODRIVER,Bug,Fixed,Major - P3,2017-05-26,2017-05-31,Use connect timeout as socket timeout for heartbeat connections,not_relevant,,False,False,False,high,Build/CI infrastructure,Server Discovery and Monitoring,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-21
GODRIVER-7,GODRIVER,Improvement,Fixed,Critical - P2,2017-05-25,2017-05-31,Handle socket timeout's differently,not_relevant,,False,False,False,high,Build/CI infrastructure,Connections,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-7
GODRIVER-43,GODRIVER,Bug,Fixed,Blocker - P1,2017-07-16,2017-08-05,"When a read/write error occurs, the connection pool should be cleared.",not_relevant,,False,False,False,low,Insufficient detail for classification,Server Discovery and Monitoring,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-43
GODRIVER-71,GODRIVER,Bug,Fixed,Critical - P2,2017-08-23,2017-08-23,Need to support server Tags,not_relevant,,False,False,False,low,Insufficient detail for classification,Server Selection,,0.0.1,Depends:BI-1176,https://jira.mongodb.org/browse/GODRIVER-71
GODRIVER-72,GODRIVER,Bug,Fixed,Critical - P2,2017-08-23,2017-08-23,Fix hostname resolution during server discover,not_relevant,,False,True,False,low,Insufficient detail for classification,Server Discovery and Monitoring,,0.0.1,Related:BI-1176|Related:SPEC-915,https://jira.mongodb.org/browse/GODRIVER-72
GODRIVER-73,GODRIVER,Bug,Fixed,Critical - P2,2017-08-31,2017-09-11,Panic from cluster monitor closing channel during Stop,not_relevant,,False,False,False,high,Dependency/vendor update,Monitoring,,0.0.1,Related:BI-1177,https://jira.mongodb.org/browse/GODRIVER-73
GODRIVER-83,GODRIVER,Bug,Fixed,Major - P3,2017-09-19,2017-09-19,isMaster during heartbeat is retried even when successful,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-83
GODRIVER-6,GODRIVER,Bug,Fixed,Major - P3,2017-04-20,2017-09-29,Don't execute buildInfo command on every heartbeat,not_relevant,,False,False,False,high,Build/CI infrastructure,Server Discovery and Monitoring,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-6
GODRIVER-91,GODRIVER,Bug,Fixed,Major - P3,2017-09-26,2017-11-08,Data race tests fail,test_infrastructure,,False,False,False,high,Test infrastructure/YAML format,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-91
GODRIVER-127,GODRIVER,Bug,Fixed,Major - P3,2017-11-10,2017-11-20,Variables in evergreen yml not correctly passed to mongo-orchestration,test_infrastructure,,False,False,False,high,Test infrastructure/YAML format,Testing,,0.0.1,Related:GODRIVER-129,https://jira.mongodb.org/browse/GODRIVER-127
GODRIVER-187,GODRIVER,Improvement,Fixed,Major - P3,2018-01-04,2018-01-22,Create separate package for Decimal128 type,not_relevant,,False,False,False,high,Build/CI infrastructure,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-187
GODRIVER-186,GODRIVER,Improvement,Fixed,Major - P3,2018-01-04,2018-01-22,Return 2 uint32's for Timestamp for Element/ReaderElement,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-186
GODRIVER-182,GODRIVER,Improvement,Fixed,Major - P3,2017-12-18,2018-01-22,Implement the Concat method for bson.Document,not_relevant,,False,False,False,medium,Documentation/typo fix,,,0.0.1,Gantt End to Start:GODRIVER-164,https://jira.mongodb.org/browse/GODRIVER-182
GODRIVER-183,GODRIVER,Improvement,Fixed,Major - P3,2017-12-21,2018-01-24,Add function to create bson.Reader from an io.Reader,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-183
GODRIVER-214,GODRIVER,Improvement,Fixed,Major - P3,2018-02-01,2018-02-01,Update NewDocument to take a variadic list of *Elements,not_relevant,,False,False,False,high,Build/CI infrastructure,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-214
GODRIVER-212,GODRIVER,Bug,Fixed,Major - P3,2018-01-31,2018-02-01,BSON Library Decoder Panics And Cannot Cast Numbers,test_infrastructure,,False,False,False,high,Test infrastructure/YAML format,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-212
GODRIVER-204,GODRIVER,Improvement,Fixed,Minor - P4,2018-01-23,2018-02-06,Eliminate internal use of panic() wherever possible,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.1,Related:GODRIVER-198|Related:GODRIVER-2432,https://jira.mongodb.org/browse/GODRIVER-204
GODRIVER-217,GODRIVER,Bug,Fixed,Major - P3,2018-02-06,2018-02-06,SDAM spec tests failing on Windows,test_infrastructure,,False,False,False,high,Test infrastructure/YAML format,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-217
GODRIVER-95,GODRIVER,Improvement,Done,Major - P3,2017-09-27,2018-02-06,Check for $out in aggregation,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-95
GODRIVER-188,GODRIVER,Improvement,Done,Major - P3,2018-01-05,2018-02-12,Return error if the any lengths are negative,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.1,,https://jira.mongodb.org/browse/GODRIVER-188
GODRIVER-248,GODRIVER,Improvement,Fixed,Major - P3,2018-02-15,2018-02-16,Rename bson.ArrayConstructor to bson.ValueConstructor,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-248
GODRIVER-253,GODRIVER,Bug,Fixed,Major - P3,2018-02-20,2018-02-20,bson.Reader.Lookup should return ErrElementNotFound if no element is found,not_relevant,,False,False,False,medium,Documentation/typo fix,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-253
GODRIVER-239,GODRIVER,Improvement,Fixed,Major - P3,2018-02-13,2018-02-20,Improve Document.ElementAt usability,not_relevant,,False,False,False,medium,Documentation/typo fix,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-239
GODRIVER-231,GODRIVER,Improvement,Fixed,Major - P3,2018-02-12,2018-02-20,Add DecodeBytes method to the Cursor,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-231
GODRIVER-252,GODRIVER,Improvement,Fixed,Major - P3,2018-02-16,2018-02-21,Add FromHex function to the objectid package,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-252
GODRIVER-241,GODRIVER,Bug,Fixed,Minor - P4,2018-02-13,2018-02-21,Clarify the documentation for the bson package wrt the builder.Builder type,not_relevant,,False,False,False,high,Build/CI infrastructure,BSON,,0.0.2,Duplicate:GODRIVER-240,https://jira.mongodb.org/browse/GODRIVER-241
GODRIVER-237,GODRIVER,Improvement,Fixed,Major - P3,2018-02-13,2018-02-21,Make mongo.Cursor its own interface,not_relevant,,False,False,False,medium,Documentation/typo fix,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-237
GODRIVER-232,GODRIVER,Improvement,Fixed,Major - P3,2018-02-12,2018-02-21,Add a method to bson.Value to get the offset into the underlying []byte,not_relevant,,False,False,False,low,Insufficient detail for classification,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-232
GODRIVER-246,GODRIVER,Bug,Fixed,Major - P3,2018-02-15,2018-02-22,Update bson.ErrTooSmall,driver_spec_nonconformance,bson,True,False,True,high,BSON error reporting missing stack traces,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-246
GODRIVER-238,GODRIVER,Bug,Fixed,Major - P3,2018-02-13,2018-02-23,Lookup should properly traverse Arrays,driver_spec_nonconformance,bson,True,False,True,high,Document.Lookup does not properly traverse arrays,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-238
GODRIVER-245,GODRIVER,Bug,Fixed,Major - P3,2018-02-15,2018-02-23,Ensure methods of *Document handle the case where *Document is nil,driver_spec_nonconformance,bson,True,False,True,high,BSON encoding of struct fields inside containers,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-245
GODRIVER-96,GODRIVER,Bug,Fixed,Major - P3,2017-09-27,2018-02-23,Use insertion-ordered map in ops.Find,driver_spec_nonconformance,bson,True,False,True,medium,BSON encoding/decoding issue,,,,,https://jira.mongodb.org/browse/GODRIVER-96
GODRIVER-262,GODRIVER,Bug,Fixed,Major - P3,2018-02-23,2018-03-01,"Prevent ""limit"" from being specified on FindOne",driver_spec_nonconformance,crud,True,False,True,high,FindOne incorrectly accepts limit option,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-262
GODRIVER-257,GODRIVER,Improvement,Fixed,Major - P3,2018-02-21,2018-03-05,"Document the valid types for bson.Encoder, bson.Decoder, and bson.DocumentEncoder",driver_spec_nonconformance,bson,True,False,True,high,BSON encoding of struct fields inside containers,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-257
GODRIVER-249,GODRIVER,Improvement,Fixed,Major - P3,2018-02-15,2018-03-05,Move options package into private,not_relevant,,False,False,False,medium,Internal refactoring without behavior change,,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-249
GODRIVER-242,GODRIVER,Bug,Fixed,Minor - P4,2018-02-13,2018-03-05,Document the valid struct tags for bson.Encoder and bson.Decoder,driver_spec_nonconformance,bson,True,False,True,high,BSON encoding of struct fields inside containers,BSON,,0.0.2,,https://jira.mongodb.org/browse/GODRIVER-242
GODRIVER-90,GODRIVER,Improvement,Fixed,Major - P3,2017-09-26,2018-03-06,"Add support for a ""comment"" parameter to the aggregate command",driver_spec_nonconformance,crud,True,True,True,high,Missing comment parameter support for aggregate,,,,Depends:GODRIVER-67|Depends:GODRIVER-98|Depends:DRIVERS-377,https://jira.mongodb.org/browse/GODRIVER-90
GODRIVER-282,GODRIVER,Bug,Fixed,Major - P3,2018-03-15,2018-03-15,bson.Decoder cannot decode into bson types inside of a struct,driver_spec_nonconformance,bson,True,False,True,high,BSON encoding of struct fields inside containers,,,0.0.3,,https://jira.mongodb.org/browse/GODRIVER-282
GODRIVER-288,GODRIVER,Bug,Fixed,Major - P3,2018-03-20,2018-03-26,Fix decoding BSON arrays into empty interface ,driver_spec_nonconformance,bson,True,False,True,high,BSON encoding of struct fields inside containers,,,0.0.3,,https://jira.mongodb.org/browse/GODRIVER-288
